29UMT3,52.13,-9.37
29UMT4,51.68,-9.36
29UMU2,52.57,-10.11
29UMU3,53.02,-9.37
29UMU4,52.57,-9.37
29UMV1,53.92,-10.14
29UMV2,53.47,-10.13
29UMV3,53.92,-9.38
29UMV4,53.47,-9.38
29UNA1,54.82,-8.61
29UNA2,54.37,-8.62
29UNA3,54.82,-7.83
29UNA4,54.37,-7.85
29UNB2,55.27,-8.61
29UNB4,55.27,-7.82
29UNT1,52.13,-8.63
29UNT2,51.68,-8.64
29UNT3,52.12,-7.90
29UNT4,51.67,-7.92
29UNU1,53.02,-8.63
29UNU2,52.57,-8.63
29UNU3,53.02,-7.88
29UNU4,52.57,-7.89
29UNV1,53.92,-8.62
29UNV2,53.47,-8.62
29UNV3,53.92,-7.86
29UNV4,53.47,-7.87
29UPA1,54.81,-7.06
29UPA2,54.36,-7.08
29UPA3,54.79,-6.33
29UPA4,54.34,-6.35
29UPB2,55.26,-7.03
29UPB3,55.69,-6.31
29UPB4,55.24,-6.32
29UPR4,49.85,-6.57
29UPT1,52.11,-7.17
29UPT3,52.10,-6.40
29UPU1,53.01,-7.14
29UPU2,52.56,-7.16
29UPU3,53.00,-6.38
29UPU4,52.55,-6.39
29UPV1,53.91,-7.10
29UPV2,53.46,-7.12
29UPV3,53.89,-6.36
29UPV4,53.45,-6.37
29VNC3,56.61,-7.78
29VND3,57.51,-7.75
29VND4,57.06,-7.76
29VNE2,57.97,-8.58
29VNE3,58.41,-7.72
29VNE4,57.96,-7.73
29VNJ3,62.00,-7.57
29VNK4,62.45,-7.55
29VPC1,56.60,-6.96
29VPC2,56.15,-6.99
29VPC3,56.59,-6.28
29VPC4,56.14,-6.29
29VPD1,57.50,-6.91
29VPD2,57.05,-6.94
29VPD3,57.48,-6.00
29VPD4,57.03,-6.00
29VPE1,58.40,-6.86
29VPE2,57.95,-6.89
29VPE3,58.38,-6.00
29VPE4,57.93,-6.00
29VPJ1,61.99,-6.55
29VPJ2,61.54,-6.56
29VPK2,62.43,-6.53
29WMU3,70.98,-9.69
29WNU1,70.98,-8.31
30STE3,35.89,-5.49
30STF3,36.79,-5.52
30STF4,36.34,-5.51
30STG3,37.69,-5.63
30STG4,37.24,-5.54
30STH3,38.59,-5.65
30STH4,38.14,-5.64
30STJ3,39.49,-5.66
30STJ4,39.04,-5.66
30STK4,39.94,-5.67
30SUF1,36.80,-4.96
30SUF2,36.35,-4.95
30SUF3,36.81,-4.40
30SUG1,37.71,-4.99
30SUG2,37.26,-4.97
30SUG3,37.71,-4.42
30SUG4,37.26,-4.41
30SUH1,38.61,-5.01
30SUH2,38.16,-5.00
30SUH3,38.61,-4.44
30SUH4,38.16,-4.43
30SUJ1,39.51,-5.04
30SUJ2,39.06,-5.02
30SUJ3,39.52,-4.45
30SUJ4,39.07,-4.44
30SUK2,39.96,-5.05
30SUK4,39.97,-4.46
30SVF1,36.82,-3.84
30SVF3,36.82,-3.28
30SVG1,37.72,-3.85
30SVG2,37.27,-3.85
30SVG3,37.72,-3.28
30SVG4,37.27,-3.28
30SVH1,38.62,-3.86
30SVH2,38.17,-3.86
30SVH3,38.62,-3.29
30SVH4,38.17,-3.29
30SVJ1,39.52,-3.87
30SVJ2,39.07,-3.87
30SVJ3,39.52,-3.29
30SVJ4,39.07,-3.29
30SVK2,39.97,-3.88
30SVK4,39.97,-3.29
30SWF1,36.82,-2.72
30SWF3,36.82,-2.16
30SWG1,37.72,-2.72
30SWG2,37.27,-2.72
30SWG3,37.72,-2.15
30SWG4,37.27,-2.15
30SWH1,38.62,-2.71
30SWH2,38.17,-2.71
30SWH3,38.62,-2.14
30SWH4,38.17,-2.14
30SWJ1,39.52,-2.71
30SWJ2,39.07,-2.71
30SWJ3,39.52,-2.13
30SWJ4,39.07,-2.13
30SWK2,39.97,-2.71
30SWK4,39.97,-2.12
30SXG1,37.71,-1.58
30SXG2,37.26,-1.59
30SXG3,37.71,-1.01
30SXH1,38.61,-1.56
30SXH2,38.16,-1.57
30SXH3,38.61,-0.99
30SXH4,38.16,-1.00
30SXJ1,39.52,-1.55
30SXJ2,39.07,-1.56
